,Donald Trump,Kamala Harris,Beto O'Rourke,Bernie Sanders,Joe Biden
2019-03-11 11:00:05.787538,2.55,6.0,8.0,7.0,8.0
2019-03-11 12:00:05.187840,2.55,6.0,8.0,7.0,8.0
2019-03-11 13:00:05.459801,2.55,6.0,8.0,7.0,8.0
2019-03-11 14:00:05.763059,2.55,6.0,8.0,7.0,8.0
2019-03-11 15:00:04.935027,2.55,6.0,8.0,7.0,8.0
2019-03-11 16:00:06.541894,2.55,6.0,8.0,7.0,8.0
2019-03-11 17:00:06.010917,2.55,6.0,8.0,7.0,8.0
2019-03-11 18:00:11.664398,2.55,6.0,8.0,7.0,8.0
2019-03-11 19:00:11.255517,2.55,6.0,8.0,7.0,8.0
2019-03-11 21:00:11.618176,2.55,6.0,8.0,7.0,8.0
2019-03-11 23:00:04.905638,2.55,6.0,8.0,7.0,8.0
2019-03-12 00:00:05.266167,2.55,6.0,8.0,7.0,8.0
2019-03-12 01:00:05.585674,2.55,6.0,8.0,7.0,8.0
2019-03-12 02:00:05.730141,2.55,6.0,8.0,7.0,8.0
2019-03-12 03:00:05.064509,2.55,6.0,8.0,7.0,8.0
2019-03-12 04:00:05.329372,2.55,6.0,8.0,7.0,8.0
2019-03-12 05:00:05.609460,2.55,6.0,8.0,7.0,8.0
2019-03-12 06:00:05.802442,2.55,6.0,8.0,7.0,8.0
2019-03-12 07:00:06.072377,2.55,6.0,8.0,7.0,8.0
2019-03-12 08:00:05.587530,2.55,6.0,8.0,7.0,8.0
2019-03-12 09:00:05.916649,2.55,6.0,8.0,7.0,8.0
2019-03-12 10:00:06.248085,2.55,6.0,8.0,7.0,8.0
2019-03-12 11:00:05.579915,2.55,6.0,8.0,7.0,8.0
2019-03-12 12:00:05.932187,2.55,6.0,10.0,7.0,7.5
2019-03-12 13:00:05.513292,2.55,6.0,10.0,7.0,7.5
2019-03-12 14:00:05.723722,2.55,6.0,10.0,7.0,7.5
2019-03-12 15:00:05.276634,2.55,6.0,10.0,7.0,7.5
2019-03-12 16:00:06.096697,2.55,6.0,10.0,7.0,7.5
2019-03-12 17:00:07.162240,2.55,6.0,10.0,7.0,7.5
2019-03-12 18:00:06.043738,2.55,6.0,10.0,7.0,7.5
2019-03-12 19:00:05.701074,2.55,6.0,10.0,7.0,7.5
2019-03-12 20:00:04.981961,2.55,6.0,10.0,7.0,7.5
2019-03-12 21:00:05.734671,2.55,6.0,10.0,7.0,7.5
2019-03-12 22:00:05.186310,2.55,6.0,10.0,7.0,7.5
2019-03-12 23:00:06.550344,2.55,6.0,10.0,7.0,7.5
2019-03-13 00:00:05.799149,2.55,6.0,10.0,7.0,7.5
2019-03-13 01:00:05.751052,2.55,6.0,10.0,7.0,7.5
2019-03-13 02:00:07.252823,2.55,6.0,10.0,7.0,7.5
2019-03-13 03:00:05.604140,2.55,6.0,10.0,7.0,7.5
2019-03-13 04:00:05.852719,2.55,6.0,10.0,7.0,7.5
2019-03-13 05:00:05.952872,2.55,6.0,10.0,7.0,7.5
2019-03-13 06:00:06.412138,2.55,6.0,10.0,7.0,7.5
2019-03-13 07:00:05.926246,2.55,6.0,10.0,7.0,7.5
2019-03-13 08:00:05.318158,2.55,6.0,10.0,7.0,7.5
2019-03-13 09:00:05.695192,2.55,6.0,10.0,7.0,7.5
2019-03-13 10:00:05.048107,2.55,6.0,10.0,7.0,7.5
2019-03-13 11:00:07.448405,2.55,6.0,10.0,7.0,7.5
2019-03-13 12:00:05.710731,2.55,6.0,10.0,7.0,7.5
2019-03-13 13:00:05.235683,2.55,6.0,10.0,7.0,7.5
2019-03-13 14:00:05.748943,2.55,6.0,10.0,7.0,7.5
2019-03-13 15:00:05.162575,2.55,6.0,10.0,7.0,7.5
2019-03-13 16:00:05.602379,2.55,6.0,10.0,7.0,7.5
2019-03-13 17:00:05.825702,2.55,6.0,10.0,7.0,7.5
2019-03-13 18:00:05.010977,2.55,6.0,10.0,7.0,7.5
2019-03-13 19:00:05.261049,2.55,6.0,10.0,7.0,7.5
2019-03-13 20:00:05.629004,2.55,6.0,10.0,7.0,7.5
2019-03-13 21:00:05.938034,2.55,6.0,10.0,7.0,7.5
2019-03-13 22:00:05.196668,2.55,6.0,10.0,7.0,7.5
2019-03-13 23:00:05.469556,2.55,6.0,10.0,7.0,7.5
2019-03-14 00:00:05.714883,2.55,6.0,10.0,7.0,7.5
2019-03-14 01:00:06.278259,2.55,6.0,10.0,7.0,7.5
2019-03-14 02:00:05.664500,2.55,6.0,10.0,7.0,7.5
2019-03-14 03:00:06.192455,2.55,6.0,10.0,7.0,7.5
2019-03-14 04:00:05.509178,2.55,6.0,10.0,7.0,7.5
2019-03-14 05:00:06.452422,2.55,6.0,10.0,7.0,7.5
2019-03-14 06:00:05.927053,2.55,6.0,10.0,7.0,7.5
2019-03-14 07:00:05.429053,2.55,6.0,10.0,7.0,7.5
2019-03-14 08:00:05.798248,2.55,6.0,10.0,7.0,7.5
2019-03-14 09:00:05.356576,2.55,6.0,10.0,7.0,7.5
2019-03-14 10:00:05.968752,2.55,6.0,10.0,7.0,7.5
2019-03-14 11:00:06.527347,2.55,6.0,10.0,7.0,7.5
2019-03-14 12:00:05.733835,2.55,6.0,10.0,7.0,7.5
